Main Author, de Kleer
Title, Near-infrared monitoring of Io and detection of a violent outburst on 29 August 2013.
Year, 2014
URL, https://www.sciencedirect.com/science/article/pii/S0019103514003170?via%3Dihub
Position, Figure 1
Wavelength, 1250KSun
4.282757745320268, 1240.123584394687
4.29940424174094, 1227.7107170268282
4.316050809906484, 1213.2261447211386
4.3338324223112075, 1196.2826065921672
4.348166879930477, 1186.327477413106
4.365990586147989, 1167.7007228662333
4.383934314419619, 1151.3677669122153
4.3977703720113475, 1140.8017048054899
4.424253538854957, 1118.040572265234
4.453763263144284, 1095.2825964993644
4.513539318201298, 1050.7169655910657
4.544562354096549, 1027.011036782551
4.576341996470162, 1004.2554285974747
4.621581919585379, 998.1786933415533
4.660049690441557, 988.8754503385353
4.689830939954558, 988.9065129195151
4.7132941154856, 993.0038954805059
4.750370233389216, 970.2538116506112
4.76777333329888, 958.8775859452671
4.787446351292831, 947.5037278207164
4.830071289379192, 920.961305691173
4.844195487190398, 913.3797858662674
4.866895119001036, 900.3813163506657
